consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
41,Jonathan Ikone,2017-2018,Montpellier,RW,0.7362510497689035,0.8892989,0.6314580364820597,52.0,30.0,70.0,50.666666666666664
42,Aleksandr Golovin,2021-2022,Monaco,AM,0.7469261641006082,0.7583731,0.6862432497074515,51.0,54.0,47.0,50.666666666666664
43,Nabil Fekir,2017-2018,Lyon,AM,0.96319477518764,0.9086351,0.5654599550764433,23.0,26.0,104.0,51.0
44,Julian Draxler,2019-2020,Paris S-G,LW,0.9934162907862625,0.8969154,0.5532337436723912,9.0,28.0,118.0,51.666666666666664
45,Jeremy Doku,2020-2021,Rennes,LW,0.7182703658579056,0.6744447,0.7045808839784294,56.0,62.0,40.0,52.666666666666664
46,Amine Harit,2021-2022,Marseille,AM,0.7264600964914071,0.14799963,0.7364853398116175,54.0,76.0,30.0,53.333333333333336
47,Jeff Reine-Adélaïde,2019-2020,2 Teams,AM,0.6783213345244044,0.091813385,0.8064939715930678,64.0,89.0,8.0,53.666666666666664
48,Angel Gomes,2021-2022,Lille,AM,0.7239426136883252,0.72727454,0.6700682612839449,55.0,57.0,54.0,55.333333333333336
49,Allan Saint-Maximin,2017-2018,2 Teams,LW,0.3703590928684824,0.81548494,0.7853773307130278,103.0,47.0,17.0,55.666666666666664
50,Martin Terrier,2018-2019,Lyon,LW,0.988047275830896,0.25596845,0.598329185029143,11.0,67.0,91.0,56.333333333333336
51,Jonathan Ikone,2020-2021,Lille,RW,0.7036016930204777,0.9168517,0.5903399553008014,59.0,22.0,95.0,58.666666666666664
52,Yusuf Yazıcı,2020-2021,Lille,AM,0.5821234437605612,0.091749944,0.7951361355552937,75.0,90.0,12.0,59.0
53,Dango Ouattara,2021-2022,Lorient,RW,0.9306599352160093,0.85585856,0.5594591503649748,26.0,40.0,116.0,60.666666666666664
54,Houssem Aouar,2021-2022,Lyon,AM,0.6444962317660746,0.8793648,0.6233275572527832,72.0,32.0,79.0,61.0
55,Romain Del Castillo,2019-2020,Rennes,RW,0.733202282335863,0.23206599,0.6442812377083887,53.0,71.0,65.0,63.0
